bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr	orig
60dcc770c5da832d6e150cec	0.000805048076923	0.0123444341826923	0	37.13574921768115	1.1559791010628024	0.9774381854106282	0.4433046814030666	4626.0908203125	0.0689132143468441	2.0	0.9615384615384616	1.996642666666667	1.89672	2.154192	1.939016	0.00668209	-0.0013529526768252	0.0086417654529213	208.0	88.0	88.0	63.0	4.6555979757277495	2.0	2.5	2.5	2.5	32.37751937092671	4.732922670698603	16.451799392700195	5.120192527770996	359661.0	1.2355769872665403	73.8846206665039	33.10336685180664	3.208602930868838	67.60807282124124	355.88836669921875	346.3702087402344	62529.0	260.3846130371094	482.9173278808594	74.39805603027344	39.65188380796462	fetch
60dcc735c5da832d6e150ce2	0.0008174519230769	0.0123380750961538	0	37.131439061400975	1.156957462995169	0.9776924526570046	0.443154731045526	4648.3125	0.1187673095326927	13.0	6.25	1.9941293333333332	1.897048	2.15104	1.9343	0.00669602	-0.0014314485015347	0.0085690328851342	208.0	88.0	88.0	63.0	4.65349090554783	2.0	2.5	2.5	2.5	32.34307830968906	4.732922317218689	16.45954132080078	5.125	359723.0	1.2451924085617063	73.86442565917936	33.12562561035156	3.219121210424121	67.64372621931808	355.9097900390625	346.4278869628906	62537.0	260.54713134765626	482.50483398437495	74.44413757324219	39.75797027291264	fetch
60dcb1054b0add7bb3013c89	0.0007296153846153	0.0094534923076923	0	44.37988976014493	1.2533279887922713	1.007434958550725	0.4530912706128528	4244.49365234375	0.0728134681306734	0.0	0.0	1.9700013333333333	1.840216	2.118156	1.951632	0.00342979	-0.013056525029242	0.0183101836591959	208.0	88.0	88.0	63.0	4.585900737046135	2.0	2.5	2.5	2.5	43.19469736963534	4.1199236357226425	12.568845748901367	4.350961685180664	351745.0	1.0	51.638462066650334	25.0968074798584	2.7213200719230954	56.32105760417445	288.56414794921875	281.7139587402344	70250.0	206.05986328125	390.0875091552735	61.43001556396485	43.271792328218	fetch
60dcb0a94b0add7bb3013c84	0.000739423076923	0.0095024585576923	0	44.36669462980676	1.2537410283574877	1.007301881352657	0.4528075951722661	4291.21484375	0.0635860079021741	1.0	0.4807692307692308	1.9719106666666668	1.838332	2.119528	1.957872	0.00344672	-0.0128937922418117	0.0186261013150215	208.0	88.0	88.0	63.0	4.588978411260312	2.0	2.5	2.5	2.5	43.37738616285319	4.084284376842359	12.538147926330566	4.326923370361328	351777.0	1.0	51.45769500732428	25.06347274780273	2.6790093118720275	56.38165254500494	288.544189453125	281.7452087402344	70220.0	206.2740478515625	389.7507217407227	61.395626068115234	43.34816543280613	fetch
60dcadf14b0add7bb3013c56	0.0026266346153846	0.0246516942307692	0	36.627331305169086	1.1500114916425124	1.0112838277294682	0.4495707062832239	6119.7255859375	0.1176029539191563	17.0	8.173076923076923	1.737781393230698	1.6087599999999995	1.8842081796920944	1.720376	0.0346997	-0.017555920407176	0.0266784373670816	208.0	88.0	88.0	63.0	6.293568902178783	2.0	2.5	2.499999761581421	2.5	101.9569524323866	4.376528844716067	13.302923202514648	5.240384578704834	345904.0	1.778846263885498	45.76370239257801	27.49188041687012	3.56171946587972	57.48291497627544	408.8582153320313	404.485595703125	74986.0	321.49159240722656	511.9363250732422	64.26924133300781	36.76563449611422	fetch
60dcada7c5da832d6e150a59	0.0028625	0.0246966394230769	0	36.6098007994686	1.1530411800966194	1.0136592914975848	0.4488267454240823	6240.7021484375	0.2676411081377272	119.0	57.21153846153846	1.7403587267662106	1.615436	1.890568180298632	1.715072	0.0350671	-0.0169859025627374	0.027614327147603	208.0	88.0	88.0	63.0	6.311931754456418	2.0	2.5	2.499999761581421	2.5	106.36872094587352	4.276737576627599	13.090455055236816	5.211538791656494	346006.0	1.8125001192092896	44.43629837036133	27.1306209564209	3.4542226641911267	57.10869003275555	408.9447937011719	404.56732177734375	74923.0	321.4480773925781	511.8923187255856	64.09521484375	37.03784131206339	fetch
60da2113c5da832d6e14c5e5	0.0018541826923076	0.0134299325	0	37.41202484376811	1.1593820316425112	1.0054422983091782	0.4809445161681343	4167.44482421875	0.0929432362465333	4.0	1.9230769230769231	1.912072	1.798752	2.0312840000000003	1.90618	0.0122209	-0.0024323537945747	0.0199490133672952	208.0	88.0	88.0	63.0	5.122256381220019	2.0	2.5	2.5	2.5	26.801149694368867	4.66877119171029	16.72311782836914	5.384615421295166	338233.0	1.447115421295166	76.99519348144531	31.352617263793945	3.266230640324149	59.86006457216368	355.46685791015625	347.875	80872.0	266.73077392578125	471.985595703125	67.91398620605469	40.07714332989417	fetch
60da20d3c5da832d6e14c5e1	0.0018454807692307	0.0134754087980769	0	37.47036199545893	1.1612176023671503	1.005513726038647	0.4808148740900186	4205.7626953125	0.1106475943435309	9.0	4.326923076923077	1.9088453333333333	1.798808	2.026492	1.901236	0.0122358	-0.0023707610089331	0.019823869690299	208.0	88.0	88.0	63.0	5.118489088138491	2.0	2.5	2.5	2.5	26.80971257248621	4.654516053726039	16.707111358642578	5.375	338235.0	1.442307710647583	77.05769348144531	31.329530715942383	3.243058660517224	59.806607097762914	355.5113525390625	347.7908935546875	80880.0	266.5863067626953	472.2836608886719	67.94754028320312	40.1082756947726	fetch
60b7f1d34b0add7bb300bf8c	0.0009549519230769	0.0164729548557692	0	36.18153897338165	1.196020056811594	0.9662500900000002	0.434095263635332	7228.12109375	0.0689978333838053	0.0	0.0	1.8122666666666667	1.677656	1.97508	1.784064	0.00831551	-0.003585209371522	0.0257559735327959	208.0	88.0	88.0	63.0	5.213164441801818	2.0	2.5	2.5	2.5	53.62243760438823	4.64026020878196	16.543794631958008	5.086538791656494	357402.0	1.201923131942749	74.07188034057623	35.2232551574707	3.5601326920998764	71.13640186797902	435.3307800292969	427.7596435546875	65654.0	327.03486785888674	568.65869140625	82.05311584472656	39.644193469546735	fetch
60b7f19f4b0add7bb300bf8b	0.0009559134615384	0.016615641201923	0	36.15631953067632	1.195850581014492	0.9662838885507248	0.4337507167290841	7371.77294921875	0.082709750253779	10.0	4.807692307692308	1.811264	1.6809999999999998	1.965604	1.787188	0.00833043	-0.0036000094842165	0.0260602999478578	208.0	88.0	88.0	63.0	5.227283458897072	2.0	2.5	2.5	2.5	53.83110779861046	4.540470001133235	16.51262664794922	5.04807710647583	357426.0	1.2355769872665403	73.85096740722656	35.210060119628906	3.6036325151749375	70.93327251434191	435.4356384277344	427.8942565917969	65500.0	327.2831802368164	568.5822082519531	81.85723876953125	39.76268087513745	fetch
60b7e6334b0add7bb300bf83	0.0011989903846153	0.0157602316346153	0	38.26518945173914	1.2111481264251198	0.9915291977294686	0.4069319658543617	7800.83447265625	0.0760003774556679	1.0	0.4807692307692308	1.856034674378216	1.7327878347484746	1.9753721883861723	1.859944	0.00672058	-0.0107755381613969	0.0130262877792119	208.0	88.0	88.0	63.0	5.606486716042525	2.0	2.500000238418579	2.499999761581421	2.5	61.763478969810805	2.9295651781309204	10.56597137451172	3.875000238418579	367035.0	1.389423131942749	38.87644309997553	22.37517547607422	3.08317344791496	55.921925051972686	344.2084350585937	339.39666748046875	57992.0	260.9471130371094	442.9204437255859	60.53590393066406	41.05927595868707	fetch
