bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-178_T1w	0.359739978	3.642477558	0.539320304	13196.57422	2.749182548	2.907605719	2.811335111	2.528606815	0.164269195	0.473618218	0.362112586	1.032110333	0.099534762	2.53E-05	0.018854704	20.40410556	8.197174362	12.46831928	176	240	161	0.776274774	9.680631368	10.91889837	22.29978897	22.73745123	52.30331284	50.22336945	75.62934429	0.999998033	1.0546875	1.0546875	9.411236898	8.66240406	7.266365051	5.897249699	1935071	0	18.2949295	7.454092026	27.29276683	108.2717743	397.4925842	300.6412048	6675	183.808342	679.5824463	387.2580872	0.034927906	69.0682373	691.7575073	691.5696411	24241	572.0976563	812.1498413	71.43701172	0.697201012	41.88405609	999.8742676	999.9932251	150991	926.4454041	1072.769714	44.84302139	0.22801429	0.524011612	0.551739275	0.4469752
sub-179_T1w	0.376669187	3.457452112	0.57067325	4061.346191	2.883149059	2.998228213	2.935115852	2.716103111	0.184556162	0.453574508	0.36186933	0.946205497	0.086285129	0	0.011382402	17.71525703	8.052525392	11.80261378	176	216	161	2.950773212	10.95886232	11.80126362	21.49415533	29.29021032	56.27647111	54.57515379	78.15877994	1.000000596	1.0546875	1.0546875	6.090520857	8.382131577	9.25657177	5.777718544	1628108	0	27.73109312	8.724133492	11.1556749	139.4082794	380.7301331	374.7531128	12567	196.6974274	575.6228882	126.9966125	0.294251668	61.33977127	722.4672852	720.0283813	16775	614.9288269	835.4675964	65.70088196	0.667924122	44.11737061	1000.252563	1000.001221	150522	924.3019409	1075.922424	46.52417755	0.226607129	0.512252808	0.547486842	0.411255259
sub-180_T1w	0.348223913	3.84835926	0.542379991	22207.23438	2.950369449	3.023552791	3.092859259	2.734696296	0.186479824	0.451680893	0.361839284	1.83061862	0.167314756	4.60E-05	0.015412484	18.27788068	8.564217299	12.87063835	176	240	161	2.11881131	9.983894594	11.95019963	23.74789299	37.58878762	70.5531821	70.2104951	102.4895156	1.000002384	1.0546875	1.0546875	13.65244352	6.392205238	4.834608555	4.311476707	1872618	0	13.21068206	5.401055813	29.25501584	159.1265106	371.4775696	366.756073	5137	163.0797546	574.0357666	173.0783539	-0.040627899	68.98009491	688.7682495	688.3916626	26999	574.3160706	803.0558594	68.94893646	0.597932724	39.52812576	999.6560059	999.9963989	154779	929.8513977	1067.795923	42.10871124	0.208832338	0.513175964	0.546228111	0.467345874
sub-181_T1w	0.377008383	3.516784255	0.545417737	9812.673828	2.926660783	3.030535238	3.058536296	2.690910815	0.187269091	0.435183609	0.3775473	0.897006929	0.070806587	3.61E-05	0.050748313	19.16622316	9.20569481	12.86942546	176	240	161	3.203427922	9.871894586	12.08381847	23.17613292	27.03151988	44.4117579	44.7979382	62.95053681	0.999998271	1.0546875	1.0546875	4.953639221	10.40718079	6.741170406	7.049489498	1726239	0	20.87366104	6.608687878	5.046917907	122.5148544	399.6149292	429.4096985	9170	172.3935287	576.0736115	134.0396271	0.007384376	70.31035614	705.6192627	705.5037842	18976	587.0363007	824.4002991	71.46401215	0.593862943	40.71789932	1000.625488	1000.001892	161941	931.3078613	1071.934326	43.14778519	0.221642852	0.514296889	0.566553056	0.445937639
sub-182_T1w	0.333463267	3.995819461	0.55572262	19288.0957	3.002974049	3.13303	3.073431704	2.802460444	0.171449123	0.442241064	0.386309813	1.278533697	0.108970404	6.35E-05	0.01974278	17.38953845	7.813169594	10.91976475	176	240	161	2.297579448	9.686098866	12.15963167	24.49521668	34.43485206	64.7741521	65.00093955	95.7938145	1	1.0546875	1.0546875	6.78769535	6.838814259	4.856431007	4.612709999	1700483	0	13.92047577	5.242931366	26.88266442	148.4440613	360.4356689	359.4573059	8001	164.6420288	558.2174683	156.4406586	-0.005387884	69.53358459	674.2657471	676.1621094	27002	556.0863312	787.2671875	69.80618286	0.577280764	38.44413757	999.0482788	999.9690552	195747	930.5078369	1063.967163	40.82292938	0.231583595	0.52921313	0.575561047	0.470882115
sub-184_T1w	0.359536527	3.664512988	0.539326879	16911.30469	2.969780296	3.02538	3.042635852	2.841325037	0.19119441	0.450287826	0.358517764	0.934157848	0.087457862	0.021446627	0.010438664	16.95941588	8.034883468	12.09027205	176	240	161	2.218014682	10.58092296	11.56408946	21.89333073	30.10396165	61.54251512	59.76360767	87.64434624	1	1.0546875	1.0546875	1024.57593	7.474940777	6.660261154	5.046052933	1852459	0	20.01739388	10.70675659	38.71978711	146.6397705	351.3250427	343.4786072	10706	167.1471672	547.1967316	154.8513489	0.054833093	65.05270386	702.2145386	702.1845703	25349	591.759314	812.5732544	66.36195374	0.945190066	42.02277756	1000.328491	999.9998779	159295	926.4166443	1074.607581	45.67586136	0.224665642	0.52453804	0.554771423	0.427783099
sub-185_T1w	0.35705863	3.603372849	0.533613813	14879.29297	2.950664511	3.111895161	3.026223407	2.713874963	0.185117318	0.431114814	0.383767867	0.924322844	0.072057655	0.000357238	0.033601071	19.49887555	9.279117851	12.92021461	176	240	161	2.32887667	9.442882793	12.36905573	25.33540773	24.97996775	57.52654973	55.00443731	82.50679446	1.000004768	1.0546875	1.0546875	5655.135963	7.940239906	5.597737312	5.370839596	1989208	0	16.11686125	7.10799551	15.55246798	128.1369934	323.1113586	302.7567139	8944	164.4078362	520.6945953	129.9939117	0.136436632	71.03541565	696.8040161	697.2206421	11281	573.9781494	818.0637207	73.83229828	0.573397881	37.06768036	999.3694458	999.9807129	163390	933.6475403	1062.731085	39.46957016	0.225343719	0.503494263	0.557738006	0.484988934
sub-187_T1w	0.414013492	3.139943762	0.589595254	5071.946777	2.816475136	2.90877	2.926620444	2.614034963	0.197328651	0.425021963	0.377649385	1.007897377	0.090229988	0.000517651	0.01033468	20.20238013	10.08123138	13.86858337	176	240	161	2.198616388	8.838439008	10.25118046	19.71648598	31.94217256	62.08187158	60.79022936	88.34664396	1	1.0546875	1.0546875	37.19865953	7.415585995	7.438818932	5.030716896	1688209	0	23.57665863	8.453730583	35.21774288	146.7478943	371.1857605	361.558197	8355	176.1533249	566.6005188	164.4382172	0.212895894	75.0488205	704.9539185	702.7139282	10558	575.5244354	841.9003357	79.50279999	0.622044595	48.03526306	999.9120483	1000.008789	146511	916.8742065	1081.942383	50.71924973	0.237602979	0.521091104	0.581591249	0.553245787
sub-188_T1w	0.389365103	3.403991278	0.535199118	14597.40137	2.81220916	2.93057	2.875752296	2.630305185	0.1764751	0.447261673	0.376263227	1.366535306	0.117545569	0	0.038258155	19.62294288	8.828025482	12.61044711	176	240	161	2.606583718	10.53287209	12.06589516	23.05822966	29.02066962	55.71055922	53.94324002	77.09849123	1	1.0546875	1.0546875	3493.15198	8.497412682	6.19270277	5.763471603	2043327	0	17.27073746	7.383141518	16.40503568	159.7080078	380.1433105	376.4111023	4102	177.9265564	582.8755707	144.3902283	0.044711549	66.70040894	723.7606201	722.5909424	24956	610.9006653	839.6769257	68.60203552	0.471940144	41.31378174	1000.747498	1000.002014	155775	931.0448181	1073.035693	43.36841202	0.208367392	0.510936797	0.544860482	0.448559497
sub-190_T1w	0.370831651	3.48723108	0.573921128	19187.62891	2.947721715	3.068810183	3.028565333	2.74578963	0.17718937	0.430221113	0.392589518	1.09277308	0.087608099	0.0004871	0.013658826	18.31439263	8.509337818	11.50803806	176	240	161	2.058755287	9.481514982	12.13702643	24.87080903	37.03663606	65.37717846	65.16805892	93.09036224	0.99999994	1.0546875	1.0546875	4895.765975	7.037526608	5.907864094	4.746739388	1708022	0	18.96527586	13.60765457	22.65763661	162.6774597	397.2244873	397.8504639	6945	170.4499268	610.5638184	193.2341461	0.048044381	72.43711853	700.9981689	702.2868042	16209	576.7917725	821.730127	74.06676483	0.501274738	37.95842743	999.7590942	999.9840088	191362	933.0969482	1064.902911	40.20703125	0.230723828	0.51956296	0.57757169	0.491742818
sub-191_T1w	0.345566254	3.741516534	0.573562527	23531.54492	2.957812007	3.044894392	3.10239763	2.726144	0.176143827	0.429831729	0.394024443	1.532023787	0.168819129	0.000946553	0.019828502	17.43198594	8.046433346	10.75832824	176	240	161	2.132794422	11.00033815	12.22638574	23.54602465	31.54069713	71.38171432	67.89531294	100.7635274	1.000005126	1.0546875	1.0546875	3764.120791	6.501640797	5.542921543	4.385290146	1583129	0	17.51306763	11.09566116	41.55440521	113.4832916	338.1921997	313.0131226	8606	178.5595665	555.2792511	146.7534485	0.333148192	60.71701431	708.7077637	708.3994751	14500	602.3233398	815.789447	64.39575195	0.598387486	40.04600525	1000.405762	999.9876099	189042	931.8788116	1070.381763	42.46937561	0.246525034	0.526467323	0.582053781	0.450541153
