bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-172_task-wb2_run-03_bold	0.001475349	0.017352417	0	26.37471337	1.179380759	0.930111045	0.561463268	3517.88208	0.109226685	14	8.139534884	2.256286546	2.052680644	2.459122327	2.257056667	0.0111362	-0.01286944	0.045193609	172	74	66	45	5.887509896	2.599999905	3.02702713	3.02702713	3	15.98831629	5.542519093	26.53638077	7.48255825	121151	2.994185925	126.8284912	47.9515419	4.502952976	64.32081604	465.1565552	466.2383728	56665	351.6604553	579.9988281	79.19039917	50.48117065
sub-173_task-russian_run-01_bold	0.00137978	0.007216375	0	18.33347036	1.149079371	0.966150323	0.420548963	8614.594727	0.107439663	18	9.89010989	2.409333533	2.405332524	2.761125576	2.0615425	0.0201558	0.014050044	-0.004517728	182	60	72	36	5.229106285	2	3.361111164	3.361111164	4	67.70358991	3.234028101	10.72163963	4.038461685	101500	1.01098907	40.12637329	24.93161964	4.739449391	48.46154022	374.4356689	382.1071472	23036	235.9175949	466.832428	73.07154083	68.12297058
sub-173_task-russian_run-02_bold	0.001065714	0.004032545	0	18.80455949	1.272311977	1.003549743	0.420653701	12072.11426	0.095704467	4	2.197802198	2.446052018	2.357321616	2.865721938	2.1151125	0.0152895	-0.015859643	0.025051931	182	72	60	36	5.079035406	2	3.361111164	3.361111164	4	59.13051488	2.199465275	10.48540211	3.357142925	101527	1.219780207	40.19231033	25.38218689	4.725563207	49.1783905	377.1629639	386	23457	231.1054962	471.5120911	75.99706268	89.74517822
sub-173_task-russian_run-03_bold	0.001904011	0.004632366	0	19.7959793	1.327961724	1.021046291	0.421249501	11964.96777	0.084563536	2	1.098901099	2.44073292	2.362263434	2.855835327	2.1041	0.0230858	-0.015850227	0.024690116	182	72	60	36	5.116564741	2	3.361111164	3.361111164	4	58.49882751	2.264634132	10.57178116	3.384615421	101521	1.230769277	41.20329666	25.40664482	4.669384534	49.16210175	378.3413696	386.9615479	23418	231.0068794	472.1217041	75.62755585	85.41165161
sub-173_task-russian_run-04_bold	0.001657308	0.004399497	0	19.81097827	1.350317733	1.028931419	0.421852837	11838.4541	0.093628264	8	4.395604396	2.438201818	2.356271368	2.860304087	2.09803	0.0199025	-0.016204262	0.024313135	182	72	60	36	5.088074263	2	3.361111164	3.361111164	4	57.97472092	2.248341799	10.73130226	3.401098967	101591	1.252747297	41.75274849	25.85547638	4.719564062	49.21096802	378.1353149	386.8708801	23426	228.7101746	472.651123	76.03321075	89.20153809
sub-176_task-russian_run-01_bold	0.00170011	0.004629446	0	16.43289705	1.2300764	1.010267184	0.435129329	8190.720215	0.081005731	0	0	2.297832474	2.320089881	2.553230042	2.0201775	0.0245901	0.003128172	-0.008197437	182	60	72	36	5.539071222	2	3.361111164	3.361111164	4	57.09909825	3.034446955	11.64350986	4.315934181	99520	1.813186884	45.01730747	26.34329224	3.830200458	53.68727875	394.7988281	398.2719727	24730	268.1505569	496.8318787	71.90084839	86.85333252
sub-176_task-russian_run-02_bold	0.028428407	0.026181651	0	15.41627548	0.998785186	0.905241266	0.436072356	11033.52832	0.107670812	7	3.846153846	2.362833927	2.309974178	2.700282602	2.078245	0.00654709	-0.021998793	0.022299558	182	72	60	36	5.392577819	2	3.361111164	3.361111164	4	53.02564628	2.492726803	11.17628384	3.631868124	98881	1.538461566	44.11538696	25.95520973	4.681422769	52.86046219	394.840332	399.3626404	25200	265.3747223	495.5785828	74.05636597	39.59301758
sub-176_task-russian_run-03_bold	0.017592527	0.011577904	0	19.00885693	1.241005351	1.109642943	0.436187943	11287.85352	0.152775849	31	17.03296703	2.28988775	2.244361948	2.616738802	2.0085625	0.0253491	-0.021484092	0.024546588	182	72	60	36	5.704218159	2	3.361111164	3.361111164	4	53.1241128	2.39497304	11.18254852	3.582417727	98958	1.538461566	44.61621094	26.26862717	4.172069503	51.79332733	396.4147339	399.9697876	25098	274.2469788	494.9129333	70.11685181	53.24443436
sub-176_task-russian_run-04_bold	0.014009835	0.01154904	0	19.66076004	1.240556873	1.080885284	0.435826941	11653.01953	0.139788897	22	12.08791209	2.301603432	2.249515006	2.637800289	2.017495	0.0144419	-0.020901555	0.02594886	182	72	60	36	5.647217	2	3.361111164	3.361111164	4	55.44050215	2.378680706	11.04094791	3.527472734	99007	1.494505525	44.12637329	25.76910019	4.558133786	51.41450882	396.1643677	400.0412292	25156	272.4670334	493.5288696	70.83724213	55.79075241
sub-177_task-wb2_run-01_bold	0.004140409	0.010926854	1	21.98948053	1.188513963	0.992987734	0.484935953	3320.822754	0.060303735	7	4.093567251	2.315828567	2.16417948	2.556739556	2.226566667	0.0134453	0.002523612	0.006454431	171	66	74	45	5.798894124	2.599999905	3.02702713	3.02702713	3	69.26999929	5.254134655	17.0132618	7.426900864	137244	2.830409288	63.56725311	33.89836502	4.694750449	61.69702911	439.485199	442.380127	41943	327.499411	546.7187134	76.28607178	59.75390625
